"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 23:53:23 GMT 2024","Tue Aug 06 23:53:27 GMT 2024","4400","","","","","","Validate Council Output [BoltonCouncil]",""
"passed","Wed Aug 07 00:04:51 GMT 2024","Wed Aug 07 00:04:52 GMT 2024","780","","","","","","Validate Council Output [StAlbansCityAndDistrictCouncil]",""
"passed","Wed Aug 07 00:03:56 GMT 2024","Wed Aug 07 00:04:00 GMT 2024","3669","","","","","","Validate Council Output [RugbyBoroughCouncil]",""
"passed","Tue Aug 06 23:58:16 GMT 2024","Tue Aug 06 23:59:37 GMT 2024","81103","","","","","","Validate Council Output [BroxtoweBoroughCouncil]",""
"passed","Wed Aug 07 00:04:46 GMT 2024","Wed Aug 07 00:06:52 GMT 2024","125998","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil]",""
"passed","Tue Aug 06 23:57:41 GMT 2024","Tue Aug 06 23:57:43 GMT 2024","2323","","","","","","Validate Council Output [DartfordBoroughCouncil]",""
"passed","Wed Aug 07 00:02:19 GMT 2024","Wed Aug 07 00:02:22 GMT 2024","2386","","","","","","Validate Council Output [HarrogateBoroughCouncil]",""
"passed","Wed Aug 07 00:10:39 GMT 2024","Wed Aug 07 00:11:07 GMT 2024","28090","","","","","","Validate Council Output [WestBerkshireCouncil]",""
"passed","Wed Aug 07 00:01:48 GMT 2024","Wed Aug 07 00:02:08 GMT 2024","20381","","","","","","Validate Council Output [LondonBoroughHounslow]",""
"passed","Wed Aug 07 00:03:25 GMT 2024","Wed Aug 07 00:03:26 GMT 2024","1134","","","","","","Validate Council Output [NewhamCouncil]",""
"passed","Tue Aug 06 23:57:42 GMT 2024","Tue Aug 06 23:58:16 GMT 2024","34639","","","","","","Validate Council Output [BromleyBoroughCouncil]",""
"passed","Wed Aug 07 00:02:52 GMT 2024","Wed Aug 07 00:02:53 GMT 2024","1102","","","","","","Validate Council Output [MaldonDistrictCouncil]",""
"failed","Wed Aug 07 00:09:40 GMT 2024","Wed Aug 07 00:09:52 GMT 2024","11650","","","","","","Validate Council Output [UttlesfordDistrictCouncil]",""
"passed","Wed Aug 07 00:02:53 GMT 2024","Wed Aug 07 00:02:54 GMT 2024","978","","","","","","Validate Council Output [MalvernHillsDC]",""
"passed","Wed Aug 07 00:02:45 GMT 2024","Wed Aug 07 00:03:20 GMT 2024","34506","","","","","","Validate Council Output [EppingForestDistrictCouncil]",""
"failed","Tue Aug 06 23:48:30 GMT 2024","Tue Aug 06 23:53:30 GMT 2024","300051","","","","","","Validate Council Output [BarnetCouncil]",""
"failed","Wed Aug 07 00:09:26 GMT 2024","Wed Aug 07 00:09:28 GMT 2024","1396","","","","","","Validate Council Output [SouthNorfolkCouncil]",""
"passed","Wed Aug 07 00:00:59 GMT 2024","Wed Aug 07 00:00:59 GMT 2024","384","","","","","","Validate Council Output [GedlingBoroughCouncil]",""
"passed","Tue Aug 06 23:53:30 GMT 2024","Tue Aug 06 23:53:31 GMT 2024","973","","","","","","Validate Council Output [BarnsleyMBCouncil]",""
"failed","Tue Aug 06 23:53:27 GMT 2024","Tue Aug 06 23:53:28 GMT 2024","931","","","","","","Validate Council Output [BradfordMDC]",""
"passed","Wed Aug 07 00:09:43 GMT 2024","Wed Aug 07 00:09:45 GMT 2024","2647","","","","","","Validate Council Output [RhonddaCynonTaffCouncil]",""
"passed","Wed Aug 07 00:06:50 GMT 2024","Wed Aug 07 00:06:50 GMT 2024","519","","","","","","Validate Council Output [SouthGloucestershireCouncil]",""
"passed","Wed Aug 07 00:10:15 GMT 2024","Wed Aug 07 00:10:55 GMT 2024","40242","","","","","","Validate Council Output [WestLothianCouncil]",""
"passed","Tue Aug 06 23:58:19 GMT 2024","Tue Aug 06 23:58:22 GMT 2024","2294","","","","","","Validate Council Output [DoncasterCouncil]",""
"passed","Wed Aug 07 00:06:48 GMT 2024","Wed Aug 07 00:06:50 GMT 2024","1813","","","","","","Validate Council Output [SouthCambridgeshireCouncil]",""
"passed","Wed Aug 07 00:03:26 GMT 2024","Wed Aug 07 00:03:29 GMT 2024","2601","","","","","","Validate Council Output [NewportCityCouncil]",""
"passed","Wed Aug 07 00:09:30 GMT 2024","Wed Aug 07 00:09:36 GMT 2024","5556","","","","","","Validate Council Output [TorbayCouncil]",""
"failed","Tue Aug 06 23:48:23 GMT 2024","Tue Aug 06 23:53:23 GMT 2024","300021","","","","","","Validate Council Output [BlackburnCouncil]",""
"failed","Tue Aug 06 23:59:54 GMT 2024","Tue Aug 06 23:59:55 GMT 2024","456","","","","","","Validate Council Output [EastDevonDC]",""
"failed","Wed Aug 07 00:02:02 GMT 2024","Wed Aug 07 00:02:16 GMT 2024","14286","","","","","","Validate Council Output [HaltonBoroughCouncil]",""
"passed","Wed Aug 07 00:10:17 GMT 2024","Wed Aug 07 00:10:19 GMT 2024","2334","","","","","","Validate Council Output [WiltshireCouncil]",""
"passed","Wed Aug 07 00:09:19 GMT 2024","Wed Aug 07 00:09:50 GMT 2024","30850","","","","","","Validate Council Output [TendringDistrictCouncil]",""
"passed","Tue Aug 06 23:57:33 GMT 2024","Tue Aug 06 23:57:37 GMT 2024","4253","","","","","","Validate Council Output [CrawleyBoroughCouncil]",""
"passed","Wed Aug 07 00:02:54 GMT 2024","Wed Aug 07 00:03:04 GMT 2024","10274","","","","","","Validate Council Output [NorthNorthamptonshireCouncil]",""
"passed","Wed Aug 07 00:04:58 GMT 2024","Wed Aug 07 00:05:08 GMT 2024","9194","","","","","","Validate Council Output [StokeOnTrentCityCouncil]",""
"passed","Wed Aug 07 00:04:12 GMT 2024","Wed Aug 07 00:04:22 GMT 2024","9966","","","","","","Validate Council Output [NottinghamCityCouncil]",""
"passed","Wed Aug 07 00:02:22 GMT 2024","Wed Aug 07 00:03:13 GMT 2024","51658","","","","","","Validate Council Output [HighPeakCouncil]",""
"passed","Wed Aug 07 00:05:09 GMT 2024","Wed Aug 07 00:05:15 GMT 2024","5792","","","","","","Validate Council Output [StroudDistrictCouncil]",""
"passed","Wed Aug 07 00:09:59 GMT 2024","Wed Aug 07 00:10:48 GMT 2024","48501","","","","","","Validate Council Output [ThreeRiversDistrictCouncil]",""
"passed","Tue Aug 06 23:58:02 GMT 2024","Tue Aug 06 23:58:03 GMT 2024","469","","","","","","Validate Council Output [FarehamBoroughCouncil]",""
"passed","Wed Aug 07 00:07:00 GMT 2024","Wed Aug 07 00:07:01 GMT 2024","983","","","","","","Validate Council Output [SwanseaCouncil]",""
"passed","Wed Aug 07 00:06:42 GMT 2024","Wed Aug 07 00:07:11 GMT 2024","28239","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil]",""
"passed","Tue Aug 06 23:59:37 GMT 2024","Tue Aug 06 23:59:40 GMT 2024","2299","","","","","","Validate Council Output [DoverDistrictCouncil]",""
"passed","Tue Aug 06 23:57:39 GMT 2024","Tue Aug 06 23:57:42 GMT 2024","2501","","","","","","Validate Council Output [BristolCityCouncil]",""
"failed","Tue Aug 06 23:58:26 GMT 2024","Wed Aug 07 00:00:10 GMT 2024","103225","","","","","","Validate Council Output [KnowsleyMBCouncil]",""
"failed","Tue Aug 06 23:59:30 GMT 2024","Wed Aug 07 00:00:59 GMT 2024","89107","","","","","","Validate Council Output [GatesheadCouncil]",""
"failed","Tue Aug 06 23:48:36 GMT 2024","Tue Aug 06 23:48:37 GMT 2024","576","","","","","","Validate Council Output [CastlepointDistrictCouncil]",""
"passed","Wed Aug 07 00:10:48 GMT 2024","Wed Aug 07 00:10:49 GMT 2024","941","","","","","","Validate Council Output [WestNorthamptonshireCouncil]",""
"passed","Wed Aug 07 00:00:26 GMT 2024","Wed Aug 07 00:01:52 GMT 2024","85847","","","","","","Validate Council Output [MidSussexDistrictCouncil]",""
"passed","Wed Aug 07 00:03:24 GMT 2024","Wed Aug 07 00:03:25 GMT 2024","1716","","","","","","Validate Council Output [NorthYorkshire]",""
"passed","Wed Aug 07 00:09:28 GMT 2024","Wed Aug 07 00:09:30 GMT 2024","2440","","","","","","Validate Council Output [TonbridgeAndMallingBC]",""
"passed","Wed Aug 07 00:02:45 GMT 2024","Wed Aug 07 00:02:46 GMT 2024","637","","","","","","Validate Council Output [NewarkAndSherwoodDC]",""
"passed","Tue Aug 06 23:59:40 GMT 2024","Tue Aug 06 23:59:53 GMT 2024","13419","","","","","","Validate Council Output [DurhamCouncil]",""
"passed","Tue Aug 06 23:48:30 GMT 2024","Tue Aug 06 23:48:31 GMT 2024","967","","","","","","Validate Council Output [CannockChaseDistrictCouncil]",""
"failed","Wed Aug 07 00:04:50 GMT 2024","Wed Aug 07 00:04:51 GMT 2024","1210","","","","","","Validate Council Output [SouthTynesideCouncil]",""
"failed","Wed Aug 07 00:09:38 GMT 2024","Wed Aug 07 00:09:38 GMT 2024","672","","","","","","Validate Council Output [ValeofGlamorganCouncil]",""
"passed","Tue Aug 06 23:59:53 GMT 2024","Tue Aug 06 23:59:54 GMT 2024","1227","","","","","","Validate Council Output [EastCambridgeshireCouncil]",""
"failed","Tue Aug 06 23:58:09 GMT 2024","Tue Aug 06 23:59:30 GMT 2024","80800","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil]",""
"passed","Wed Aug 07 00:09:54 GMT 2024","Wed Aug 07 00:10:15 GMT 2024","21132","","","","","","Validate Council Output [WestLindseyDistrictCouncil]",""
"passed","Wed Aug 07 00:09:50 GMT 2024","Wed Aug 07 00:09:59 GMT 2024","9412","","","","","","Validate Council Output [TestValleyBoroughCouncil]",""
"passed","Wed Aug 07 00:03:29 GMT 2024","Wed Aug 07 00:04:24 GMT 2024","55044","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil]",""
"passed","Wed Aug 07 00:04:22 GMT 2024","Wed Aug 07 00:04:25 GMT 2024","3175","","","","","","Validate Council Output [OldhamCouncil]",""
"passed","Tue Aug 06 23:53:38 GMT 2024","Tue Aug 06 23:53:39 GMT 2024","570","","","","","","Validate Council Output [BathAndNorthEastSomersetCouncil]",""
"failed","Tue Aug 06 23:48:38 GMT 2024","Tue Aug 06 23:53:39 GMT 2024","300715","","","","","","Validate Council Output [ChelmsfordCityCouncil]",""
"passed","Tue Aug 06 23:48:29 GMT 2024","Tue Aug 06 23:48:30 GMT 2024","954","","","","","","Validate Council Output [BCPCouncil]",""
"failed","Wed Aug 07 00:09:38 GMT 2024","Wed Aug 07 00:09:41 GMT 2024","2841","","","","","","Validate Council Output [ValeofWhiteHorseCouncil]",""
"passed","Wed Aug 07 00:09:50 GMT 2024","Wed Aug 07 00:09:52 GMT 2024","1988","","","","","","Validate Council Output [WealdenDistrictCouncil]",""
"passed","Tue Aug 06 23:53:45 GMT 2024","Tue Aug 06 23:58:02 GMT 2024","257190","","","","","","Validate Council Output [CheshireWestAndChesterCouncil]",""
"failed","Wed Aug 07 00:03:05 GMT 2024","Wed Aug 07 00:03:07 GMT 2024","1186","","","","","","Validate Council Output [NorthTynesideCouncil]",""
"passed","Wed Aug 07 00:04:33 GMT 2024","Wed Aug 07 00:04:34 GMT 2024","1585","","","","","","Validate Council Output [SolihullCouncil]",""
"passed","Tue Aug 06 23:53:39 GMT 2024","Tue Aug 06 23:53:49 GMT 2024","10234","","","","","","Validate Council Output [BedfordBoroughCouncil]",""
"failed","Wed Aug 07 00:06:59 GMT 2024","Wed Aug 07 00:07:00 GMT 2024","1746","","","","","","Validate Council Output [SwaleBoroughCouncil]",""
"passed","Wed Aug 07 00:04:34 GMT 2024","Wed Aug 07 00:04:43 GMT 2024","8862","","","","","","Validate Council Output [SomersetCouncil]",""
"passed","Tue Aug 06 23:53:31 GMT 2024","Tue Aug 06 23:53:38 GMT 2024","6716","","","","","","Validate Council Output [BasingstokeCouncil]",""
"passed","Wed Aug 07 00:04:00 GMT 2024","Wed Aug 07 00:04:27 GMT 2024","27134","","","","","","Validate Council Output [RushcliffeBoroughCouncil]",""
"passed","Wed Aug 07 00:00:10 GMT 2024","Wed Aug 07 00:00:19 GMT 2024","9648","","","","","","Validate Council Output [LancasterCityCouncil]",""
"passed","Wed Aug 07 00:09:41 GMT 2024","Wed Aug 07 00:10:01 GMT 2024","20025","","","","","","Validate Council Output [WakefieldCityCouncil]",""
"passed","Wed Aug 07 00:01:00 GMT 2024","Wed Aug 07 00:02:02 GMT 2024","61831","","","","","","Validate Council Output [GuildfordCouncil]",""
"passed","Wed Aug 07 00:11:07 GMT 2024","Wed Aug 07 00:11:07 GMT 2024","434","","","","","","Validate Council Output [YorkCouncil]",""
"failed","Wed Aug 07 00:04:45 GMT 2024","Wed Aug 07 00:04:50 GMT 2024","5645","","","","","","Validate Council Output [SouthOxfordshireCouncil]",""
"passed","Wed Aug 07 00:05:15 GMT 2024","Wed Aug 07 00:06:59 GMT 2024","103572","","","","","","Validate Council Output [SunderlandCityCouncil]",""
"passed","Tue Aug 06 23:58:22 GMT 2024","Tue Aug 06 23:58:24 GMT 2024","1947","","","","","","Validate Council Output [DorsetCouncil]",""
"passed","Wed Aug 07 00:05:08 GMT 2024","Wed Aug 07 00:05:09 GMT 2024","1670","","","","","","Validate Council Output [StratfordUponAvonCouncil]",""
"passed","Wed Aug 07 00:02:16 GMT 2024","Wed Aug 07 00:02:19 GMT 2024","2858","","","","","","Validate Council Output [HaringeyCouncil]",""
"failed","Tue Aug 06 23:58:24 GMT 2024","Tue Aug 06 23:58:25 GMT 2024","1595","","","","","","Validate Council Output [ManchesterCityCouncil]",""
"failed","Tue Aug 06 23:58:09 GMT 2024","Tue Aug 06 23:58:26 GMT 2024","17658","","","","","","Validate Council Output [KirkleesCouncil]",""
"passed","Wed Aug 07 00:09:16 GMT 2024","Wed Aug 07 00:09:18 GMT 2024","2534","","","","","","Validate Council Output [TandridgeDistrictCouncil]",""
"passed","Wed Aug 07 00:01:47 GMT 2024","Wed Aug 07 00:01:47 GMT 2024","743","","","","","","Validate Council Output [LisburnCastlereaghCityCouncil]",""
"passed","Wed Aug 07 00:06:42 GMT 2024","Wed Aug 07 00:06:42 GMT 2024","401","","","","","","Validate Council Output [ReadingBoroughCouncil]",""
"failed","Tue Aug 06 23:45:22 GMT 2024","Tue Aug 06 23:48:23 GMT 2024","180798","","","","","","Validate Council Output [BexleyCouncil]",""
"passed","Wed Aug 07 00:09:36 GMT 2024","Wed Aug 07 00:09:37 GMT 2024","1249","","","","","","Validate Council Output [StockportBoroughCouncil]",""
"passed","Wed Aug 07 00:02:42 GMT 2024","Wed Aug 07 00:02:44 GMT 2024","1275","","","","","","Validate Council Output [EastleighBoroughCouncil]",""
