"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 06 23:17:15 GMT 2024","Tue Aug 06 23:17:16 GMT 2024","675","","","","","","Validate Council Output [MertonCouncil]",""
"passed","Tue Aug 06 23:23:52 GMT 2024","Tue Aug 06 23:23:54 GMT 2024","1579","","","","","","Validate Council Output [SouthCambridgeshireCouncil]",""
"passed","Tue Aug 06 23:26:54 GMT 2024","Tue Aug 06 23:26:55 GMT 2024","1110","","","","","","Validate Council Output [WarwickDistrictCouncil]",""
"passed","Tue Aug 06 23:23:34 GMT 2024","Tue Aug 06 23:23:38 GMT 2024","4504","","","","","","Validate Council Output [ShropshireCouncil]",""
"passed","Tue Aug 06 23:27:19 GMT 2024","Tue Aug 06 23:27:20 GMT 2024","851","","","","","","Validate Council Output [WestLindseyDistrictCouncil]",""
"passed","Tue Aug 06 23:15:35 GMT 2024","Tue Aug 06 23:15:36 GMT 2024","825","","","","","","Validate Council Output [ConwyCountyBorough]",""
"passed","Tue Aug 06 23:03:24 GMT 2024","Tue Aug 06 23:06:27 GMT 2024","183104","","","","","","Validate Council Output [ArunCouncil]",""
"passed","Tue Aug 06 23:26:47 GMT 2024","Tue Aug 06 23:27:05 GMT 2024","17466","","","","","","Validate Council Output [ThreeRiversDistrictCouncil]",""
"passed","Tue Aug 06 23:23:42 GMT 2024","Tue Aug 06 23:23:47 GMT 2024","4265","","","","","","Validate Council Output [NorthEastLincs]",""
"passed","Tue Aug 06 23:03:23 GMT 2024","Tue Aug 06 23:03:24 GMT 2024","728","","","","","","Validate Council Output [AdurAndWorthingCouncils]",""
"failed","Tue Aug 06 23:06:39 GMT 2024","Tue Aug 06 23:06:39 GMT 2024","634","","","","","","Validate Council Output [CastlepointDistrictCouncil]",""
"failed","Tue Aug 06 23:19:04 GMT 2024","Tue Aug 06 23:19:05 GMT 2024","644","","","","","","Validate Council Output [MiltonKeynesCityCouncil]",""
"passed","Tue Aug 06 23:23:26 GMT 2024","Tue Aug 06 23:23:26 GMT 2024","464","","","","","","Validate Council Output [ReadingBoroughCouncil]",""
"failed","Tue Aug 06 23:21:08 GMT 2024","Tue Aug 06 23:23:26 GMT 2024","137531","","","","","","Validate Council Output [PrestonCityCouncil]",""
"passed","Tue Aug 06 23:05:50 GMT 2024","Tue Aug 06 23:15:35 GMT 2024","584901","","","","","","Validate Council Output [ChorleyCouncil]",""
"failed","Tue Aug 06 23:26:53 GMT 2024","Tue Aug 06 23:26:54 GMT 2024","1392","","","","","","Validate Council Output [ValeofGlamorganCouncil]",""
"passed","Tue Aug 06 23:19:51 GMT 2024","Tue Aug 06 23:20:36 GMT 2024","45283","","","","","","Validate Council Output [NewForestCouncil]",""
"passed","Tue Aug 06 23:19:45 GMT 2024","Tue Aug 06 23:19:50 GMT 2024","5017","","","","","","Validate Council Output [LancasterCityCouncil]",""
"passed","Tue Aug 06 23:21:21 GMT 2024","Tue Aug 06 23:23:42 GMT 2024","141799","","","","","","Validate Council Output [NorthEastDerbyshireDistrictCouncil]",""
"passed","Tue Aug 06 23:20:52 GMT 2024","Tue Aug 06 23:21:08 GMT 2024","16344","","","","","","Validate Council Output [PortsmouthCityCouncil]",""
"passed","Tue Aug 06 23:11:43 GMT 2024","Tue Aug 06 23:11:48 GMT 2024","4045","","","","","","Validate Council Output [CheshireEastCouncil]",""
"failed","Tue Aug 06 23:11:46 GMT 2024","Tue Aug 06 23:16:45 GMT 2024","299166","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil]",""
"passed","Tue Aug 06 23:23:51 GMT 2024","Tue Aug 06 23:23:52 GMT 2024","1446","","","","","","Validate Council Output [SouthAyrshireCouncil]",""
"passed","Tue Aug 06 23:26:25 GMT 2024","Tue Aug 06 23:26:26 GMT 2024","850","","","","","","Validate Council Output [TelfordAndWrekinCouncil]",""
"passed","Tue Aug 06 23:26:51 GMT 2024","Tue Aug 06 23:27:13 GMT 2024","21836","","","","","","Validate Council Output [WakefieldCityCouncil]",""
"passed","Tue Aug 06 23:06:35 GMT 2024","Tue Aug 06 23:06:35 GMT 2024","589","","","","","","Validate Council Output [CannockChaseDistrictCouncil]",""
"passed","Tue Aug 06 23:11:40 GMT 2024","Tue Aug 06 23:11:46 GMT 2024","5288","","","","","","Validate Council Output [FenlandDistrictCouncil]",""
"passed","Tue Aug 06 23:20:58 GMT 2024","Tue Aug 06 23:20:58 GMT 2024","811","","","","","","Validate Council Output [MalvernHillsDC]",""
"failed","Tue Aug 06 23:20:46 GMT 2024","Tue Aug 06 23:20:51 GMT 2024","5549","","","","","","Validate Council Output [HullCityCouncil]",""
"passed","Tue Aug 06 23:17:44 GMT 2024","Tue Aug 06 23:18:20 GMT 2024","35810","","","","","","Validate Council Output [GuildfordCouncil]",""
"passed","Tue Aug 06 23:23:55 GMT 2024","Tue Aug 06 23:26:22 GMT 2024","146808","","","","","","Validate Council Output [RenfrewshireCouncil]",""
"passed","Tue Aug 06 23:19:13 GMT 2024","Tue Aug 06 23:19:15 GMT 2024","2233","","","","","","Validate Council Output [HaringeyCouncil]",""
"failed","Tue Aug 06 23:24:23 GMT 2024","Tue Aug 06 23:24:24 GMT 2024","1239","","","","","","Validate Council Output [SouthTynesideCouncil]",""
"passed","Tue Aug 06 23:24:29 GMT 2024","Tue Aug 06 23:24:31 GMT 2024","1819","","","","","","Validate Council Output [StokeOnTrentCityCouncil]",""
"passed","Tue Aug 06 23:26:27 GMT 2024","Tue Aug 06 23:26:51 GMT 2024","24015","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil]",""
