"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 15:10:08 GMT 2024","Tue Aug 06 15:12:37 GMT 2024","149458","","","","","","Validate Council Output [SunderlandCityCouncil]",""
"failed","Tue Aug 06 15:06:34 GMT 2024","Tue Aug 06 15:06:36 GMT 2024","2510","","","","","","Validate Council Output [NorthTynesideCouncil]",""
"passed","Tue Aug 06 15:13:15 GMT 2024","Tue Aug 06 15:13:16 GMT 2024","1430","","","","","","Validate Council Output [WarwickDistrictCouncil]",""
"passed","Tue Aug 06 15:01:23 GMT 2024","Tue Aug 06 15:01:24 GMT 2024","1469","","","","","","Validate Council Output [DartfordBoroughCouncil]",""
"passed","Tue Aug 06 15:08:14 GMT 2024","Tue Aug 06 15:09:30 GMT 2024","76078","","","","","","Validate Council Output [EppingForestDistrictCouncil]",""
"passed","Tue Aug 06 15:09:59 GMT 2024","Tue Aug 06 15:10:02 GMT 2024","3442","","","","","","Validate Council Output [StokeOnTrentCityCouncil]",""
"passed","Tue Aug 06 14:57:32 GMT 2024","Tue Aug 06 14:57:38 GMT 2024","5732","","","","","","Validate Council Output [BristolCityCouncil]",""
"passed","Tue Aug 06 15:12:41 GMT 2024","Tue Aug 06 15:13:15 GMT 2024","34010","","","","","","Validate Council Output [WalthamForest]",""
"passed","Tue Aug 06 15:09:45 GMT 2024","Tue Aug 06 15:09:47 GMT 2024","1834","","","","","","Validate Council Output [SalfordCityCouncil]",""
"passed","Tue Aug 06 15:09:58 GMT 2024","Tue Aug 06 15:09:59 GMT 2024","1541","","","","","","Validate Council Output [RochdaleCouncil]",""
"passed","Tue Aug 06 15:09:47 GMT 2024","Tue Aug 06 15:10:03 GMT 2024","15996","","","","","","Validate Council Output [SevenoaksDistrictCouncil]",""
"passed","Tue Aug 06 15:06:15 GMT 2024","Tue Aug 06 15:08:14 GMT 2024","119319","","","","","","Validate Council Output [EnvironmentFirst]",""
"passed","Tue Aug 06 14:57:22 GMT 2024","Tue Aug 06 14:57:24 GMT 2024","1628","","","","","","Validate Council Output [BedfordshireCouncil]",""
"failed","Tue Aug 06 14:52:30 GMT 2024","Tue Aug 06 14:52:30 GMT 2024","4","","","","","","Validate Council Output [BracknellForestCouncil]",""
"passed","Tue Aug 06 15:12:32 GMT 2024","Tue Aug 06 15:12:36 GMT 2024","3950","","","","","","Validate Council Output [TorridgeDistrictCouncil]",""
"passed","Tue Aug 06 15:10:05 GMT 2024","Tue Aug 06 15:10:08 GMT 2024","3295","","","","","","Validate Council Output [StroudDistrictCouncil]",""
"passed","Tue Aug 06 15:13:03 GMT 2024","Tue Aug 06 15:13:47 GMT 2024","43821","","","","","","Validate Council Output [WestBerkshireCouncil]",""
"passed","Tue Aug 06 15:09:55 GMT 2024","Tue Aug 06 15:12:27 GMT 2024","152823","","","","","","Validate Council Output [StaffordshireMoorlandsDistrictCouncil]",""
"passed","Tue Aug 06 15:13:32 GMT 2024","Tue Aug 06 15:13:37 GMT 2024","5302","","","","","","Validate Council Output [WiganBoroughCouncil]",""
"failed","Tue Aug 06 15:02:37 GMT 2024","Tue Aug 06 15:03:35 GMT 2024","58161","","","","","","Validate Council Output [GatesheadCouncil]",""
"failed","Tue Aug 06 14:52:18 GMT 2024","Tue Aug 06 14:52:19 GMT 2024","980","","","","","","Validate Council Output [CastlepointDistrictCouncil]",""
"failed","Tue Aug 06 14:57:27 GMT 2024","Tue Aug 06 15:02:37 GMT 2024","309397","","","","","","Validate Council Output [ForestOfDeanDistrictCouncil]",""
"failed","Tue Aug 06 14:52:32 GMT 2024","Tue Aug 06 14:57:32 GMT 2024","300011","","","","","","Validate Council Output [BrightonandHoveCityCouncil]",""
"passed","Tue Aug 06 15:02:59 GMT 2024","Tue Aug 06 15:03:00 GMT 2024","856","","","","","","Validate Council Output [MansfieldDistrictCouncil]",""
"passed","Tue Aug 06 14:48:58 GMT 2024","Tue Aug 06 14:52:07 GMT 2024","189153","","","","","","Validate Council Output [ArunCouncil]",""
"passed","Tue Aug 06 15:06:32 GMT 2024","Tue Aug 06 15:06:34 GMT 2024","2043","","","","","","Validate Council Output [HullCityCouncil]",""
"passed","Tue Aug 06 15:06:26 GMT 2024","Tue Aug 06 15:06:28 GMT 2024","1066","","","","","","Validate Council Output [NewarkAndSherwoodDC]",""
"failed","Tue Aug 06 15:03:47 GMT 2024","Tue Aug 06 15:05:17 GMT 2024","90045","","","","","","Validate Council Output [EastLindseyDistrictCouncil]",""
