"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 06 15:12:20 GMT 2024","Tue Aug 06 15:14:34 GMT 2024","133992","","","","","","Validate Council Output [TamesideMBCouncil]",""
"passed","Tue Aug 06 14:48:50 GMT 2024","Tue Aug 06 14:51:12 GMT 2024","141795","","","","","","Validate Council Output [ChichesterDistrictCouncil]",""
"passed","Tue Aug 06 15:13:50 GMT 2024","Tue Aug 06 15:14:05 GMT 2024","14603","","","","","","Validate Council Output [WychavonDistrictCouncil]",""
"passed","Tue Aug 06 15:09:21 GMT 2024","Tue Aug 06 15:09:48 GMT 2024","26317","","","","","","Validate Council Output [ReigateAndBansteadBoroughCouncil]",""
"passed","Tue Aug 06 15:03:31 GMT 2024","Tue Aug 06 15:04:11 GMT 2024","39541","","","","","","Validate Council Output [GuildfordCouncil]",""
"passed","Tue Aug 06 14:57:03 GMT 2024","Tue Aug 06 14:57:04 GMT 2024","1193","","","","","","Validate Council Output [BarnsleyMBCouncil]",""
"passed","Tue Aug 06 15:12:07 GMT 2024","Tue Aug 06 15:12:07 GMT 2024","858","","","","","","Validate Council Output [SouthLanarkshireCouncil]",""
"passed","Tue Aug 06 15:14:05 GMT 2024","Tue Aug 06 15:14:07 GMT 2024","2335","","","","","","Validate Council Output [WyreCouncil]",""
"failed","Tue Aug 06 15:02:38 GMT 2024","Tue Aug 06 15:02:41 GMT 2024","2053","","","","","","Validate Council Output [ManchesterCityCouncil]",""
"passed","Tue Aug 06 15:02:47 GMT 2024","Tue Aug 06 15:03:54 GMT 2024","66925","","","","","","Validate Council Output [BroxtoweBoroughCouncil]",""
"passed","Tue Aug 06 15:09:52 GMT 2024","Tue Aug 06 15:09:54 GMT 2024","1774","","","","","","Validate Council Output [SalfordCityCouncil]",""
"passed","Tue Aug 06 15:09:51 GMT 2024","Tue Aug 06 15:09:52 GMT 2024","819","","","","","","Validate Council Output [RushmoorCouncil]",""
"passed","Tue Aug 06 15:12:47 GMT 2024","Tue Aug 06 15:13:04 GMT 2024","17292","","","","","","Validate Council Output [WakefieldCityCouncil]",""
"failed","Tue Aug 06 15:13:58 GMT 2024","Tue Aug 06 15:14:01 GMT 2024","2830","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil]",""
