"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 23:06:48 GMT 2024","Tue Aug 06 23:06:50 GMT 2024","2074","","","","","","Validate Council Output [CharnwoodBoroughCouncil]",""
"passed","Tue Aug 06 23:24:18 GMT 2024","Tue Aug 06 23:24:18 GMT 2024","690","","","","","","Validate Council Output [ReadingBoroughCouncil]",""
"passed","Tue Aug 06 23:21:40 GMT 2024","Tue Aug 06 23:22:04 GMT 2024","24107","","","","","","Validate Council Output [NorthNorfolkDistrictCouncil]",""
"failed","Tue Aug 06 23:06:32 GMT 2024","Tue Aug 06 23:06:32 GMT 2024","5","","","","","","Validate Council Output [BirminghamCityCouncil]",""
"passed","Tue Aug 06 23:15:58 GMT 2024","Tue Aug 06 23:16:57 GMT 2024","59137","","","","","","Validate Council Output [BromleyBoroughCouncil]",""
"passed","Tue Aug 06 23:17:55 GMT 2024","Tue Aug 06 23:17:57 GMT 2024","1850","","","","","","Validate Council Output [EastleighBoroughCouncil]",""
"passed","Tue Aug 06 23:27:17 GMT 2024","Tue Aug 06 23:27:18 GMT 2024","876","","","","","","Validate Council Output [StAlbansCityAndDistrictCouncil]",""
"failed","Tue Aug 06 23:21:33 GMT 2024","Tue Aug 06 23:22:03 GMT 2024","30711","","","","","","Validate Council Output [NorthNorthamptonshireCouncil]",""
"failed","Tue Aug 06 23:11:51 GMT 2024","Tue Aug 06 23:11:51 GMT 2024","4","","","","","","Validate Council Output [BracknellForestCouncil]",""
"passed","Tue Aug 06 23:11:56 GMT 2024","Tue Aug 06 23:11:58 GMT 2024","1915","","","","","","Validate Council Output [EastCambridgeshireCouncil]",""
"failed","Tue Aug 06 23:16:43 GMT 2024","Tue Aug 06 23:17:10 GMT 2024","26229","","","","","","Validate Council Output [EastRidingCouncil]",""
"passed","Tue Aug 06 23:15:57 GMT 2024","Tue Aug 06 23:16:48 GMT 2024","51282","","","","","","Validate Council Output [DerbyshireDalesDistrictCouncil]",""
"passed","Tue Aug 06 23:22:05 GMT 2024","Tue Aug 06 23:22:08 GMT 2024","3388","","","","","","Validate Council Output [RugbyBoroughCouncil]",""
"passed","Tue Aug 06 23:16:55 GMT 2024","Tue Aug 06 23:16:56 GMT 2024","944","","","","","","Validate Council Output [MansfieldDistrictCouncil]",""
"failed","Tue Aug 06 23:27:39 GMT 2024","Tue Aug 06 23:28:25 GMT 2024","46144","","","","","","Validate Council Output [WalthamForest]",""
"failed","Tue Aug 06 23:22:10 GMT 2024","Tue Aug 06 23:26:39 GMT 2024","268531","","","","","","Validate Council Output [SouthKestevenDistrictCouncil]",""
"passed","Tue Aug 06 23:11:51 GMT 2024","Tue Aug 06 23:11:53 GMT 2024","2017","","","","","","Validate Council Output [CheshireEastCouncil]",""
"failed","Tue Aug 06 23:15:53 GMT 2024","Tue Aug 06 23:15:55 GMT 2024","1326","","","","","","Validate Council Output [CroydonCouncil]",""
